ep,tag,avg_loss_data,avg_loss_reg,avg_loss_mono,avg_loss_tail,avg_loss_total
1,[Warmup theta] Ep 01,0.04842390415551317,0.0,0.0,0.06622440024323999,0.05173512431478279
2,[Warmup theta] Ep 02,0.041875503915516754,0.0,0.0,0.07748257114203502,0.045749632434013324
3,[Warmup theta] Ep 03,0.042578999884426594,0.0,0.0,0.07199071635172791,0.046178535753357654
4,[Warmup theta] Ep 04,0.040557382395491004,0.0,0.0,0.07309487002727634,0.0442121259297605
5,[Warmup theta] Ep 05,0.041016352059831424,0.0,0.0,0.06943115074679004,0.044487909605277716
6,[Warmup theta] Ep 06,0.04048871965806193,0.0,0.0,0.07459669834792589,0.044218554548491294
7,[Warmup theta] Ep 07,0.04055494400001391,0.0,0.0,0.07455522560990134,0.04428270542134136
8,[Warmup theta] Ep 08,0.039963233856240975,0.0,0.0,0.07364179248053243,0.0436453234062421
9,[Warmup theta] Ep 09,0.040140754504439734,0.0,0.0,0.06923357966416528,0.043602433486690594
10,[Warmup theta] Ep 10,0.04046293669736835,0.0,0.0,0.07149406411232072,0.044037639959463595
11,[Warmup theta] Ep 11,0.039806262905675883,0.0,0.0,0.07214535619389173,0.043413530865281415
12,[Warmup theta] Ep 12,0.03985030279413017,0.0,0.0,0.07231644103940034,0.04346612489809542
13,[Warmup theta] Ep 13,0.03989593590806901,0.0,0.0,0.07078543776846312,0.04343520780618361
14,[Warmup theta] Ep 14,0.040249899183379,0.0,0.0,0.072954560029462,0.04389762728074398
15,[Warmup theta] Ep 15,0.04044469276250147,0.0,0.0,0.07035844506111692,0.04396261505967191
16,[Warmup theta] Ep 16,0.04031894131991509,0.0,0.0,0.06998627306211756,0.0438182551155773
17,[Warmup theta] Ep 17,0.039570245717710874,0.0,0.0,0.07001443065753125,0.04307096728505483
18,[Warmup theta] Ep 18,0.03943987129054762,0.0,0.0,0.07071711873065094,0.04297572728833771
19,[Warmup theta] Ep 19,0.03913085253149909,0.0,0.0,0.07188293947350562,0.042724999627476
20,[Warmup theta] Ep 20,0.039273100578947714,0.0,0.0,0.0696058432144996,0.042753392708831814
21,[Warmup theta] Ep 21,0.04011037962108448,0.0,0.0,0.07138823125687604,0.043679791116701054
22,[Warmup theta] Ep 22,0.03978406305336771,0.0,0.0,0.07025909021038322,0.04329701761194916
23,[Warmup theta] Ep 23,0.03924946061981557,0.0,0.0,0.0696730904086065,0.04273311515561062
24,[Warmup theta] Ep 24,0.03971676844663012,0.0,0.0,0.07059402120963519,0.04324646946986684
25,[Warmup theta] Ep 25,0.03966847471557222,0.0,0.0,0.070658661005599,0.04320140783507209
26,[Alt1 theta] Ep 01,0.03947282162272615,0.0,0.0,0.06951224717688076,0.04294843409684495
27,[Alt1 theta] Ep 02,0.03948764480191056,0.0,0.0,0.07317463049832998,0.0431463763354816
28,[Alt1 theta] Ep 03,0.03992165307417881,0.0,0.0,0.07277520570966141,0.043560413333276905
29,[Alt1 theta] Ep 04,0.03966822876775352,0.0,0.0,0.06897019083657027,0.04311673834747928
30,[Alt1 theta] Ep 05,0.03966849433994424,0.0,0.0,0.07310959731976173,0.04332397426929543
31,[Alt1 theta] Ep 06,0.03943804490247842,0.0,0.0,0.07054850935326629,0.042965470464493206
32,[Alt1 theta] Ep 07,0.039752073925793975,0.0,0.0,0.0698473782653932,0.043244442945505654
33,[Alt1 theta] Ep 08,0.03940846260976852,0.0,0.0,0.07274356533083404,0.043045640933570696
34,[Alt1 resid] Ep 01,0.039297076431417687,2.3711052299518903e-08,0.0,0.06611451101048875,0.0426028020137728
35,[Alt1 resid] Ep 02,0.03951241676894914,1.207714784075338e-07,0.0,0.06391601198598301,0.04270821734360914
36,[Alt1 resid] Ep 03,0.03963031651355695,2.281347599799668e-07,0.0,0.06482884615661764,0.04287175884310928
37,[Alt1 resid] Ep 04,0.03980682522261952,2.611491396464771e-07,0.0,0.06582468527044108,0.04309805951486048
38,[Alt1 resid] Ep 05,0.039656204567920114,3.00501456751123e-07,0.0,0.06527555742968207,0.04291998248165557
39,[Alt1 resid] Ep 06,0.039581193479600256,3.4059377658953355e-07,0.0,0.06538178777974518,0.04285028296405332
40,[Alt1 resid] Ep 07,0.03952365660586873,3.312918293970454e-07,0.0,0.06726297417336756,0.042886805324710335
41,[Alt1 resid] Ep 08,0.039742542006524266,3.3751089706829837e-07,0.0,0.06625146909956695,0.04305511555919709
42,[Alt2 theta] Ep 01,0.03975123892745909,3.4137120930633527e-07,0.0,0.07318503917962402,0.043410490920897236
43,[Alt2 theta] Ep 02,0.03954515020102934,3.4137120930633527e-07,0.0,0.07099177068238868,0.04309473885013512
44,[Alt2 theta] Ep 03,0.03935535129176469,3.4137120930633527e-07,0.0,0.06978749670402927,0.04284472619015556
45,[Alt2 theta] Ep 04,0.039161204086692145,3.4137120930633527e-07,0.0,0.07283551276637595,0.042802979814115204
46,[Alt2 theta] Ep 05,0.039960292459524295,3.4137120930633527e-07,0.0,0.06950520152946843,0.043435552574878744
47,[Alt2 theta] Ep 06,0.039661889726942116,3.4137120930633527e-07,0.0,0.07022953744537747,0.04317336667303902
48,[Alt2 theta] Ep 07,0.03963305005858241,3.4137120930633527e-07,0.0,0.07414546299945754,0.04334032326005399
49,[Alt2 theta] Ep 08,0.0395118194456036,3.4137120930633527e-07,0.0,0.07095214082054706,0.04305942652973573
50,[Alt2 resid] Ep 01,0.039225364977552614,3.524085412676426e-07,0.0,0.06928969676548215,0.042689849840170865
51,[Alt2 resid] Ep 02,0.039669454411859414,3.526910283504172e-07,0.0,0.07046456878251282,0.043192682958728225
52,[Alt2 resid] Ep 03,0.0390721680585983,3.4557511811898793e-07,0.0,0.07021901873027087,0.042583119105295955
53,[Alt2 resid] Ep 04,0.03914581511278746,3.51283099057746e-07,0.0,0.07092039385781128,0.042691834844640446
54,[Alt2 resid] Ep 05,0.03894262535336033,3.658432659277251e-07,0.0,0.06971144485185111,0.04242819758039807
55,[Alt2 resid] Ep 06,0.03944207697127199,3.5471265558040156e-07,0.0,0.06974469871613667,0.04292931200030285
56,[Alt2 resid] Ep 07,0.03949266736215266,3.6730852142424027e-07,0.0,0.07187366308629338,0.043086350647950765
57,[Alt2 resid] Ep 08,0.039426018389545986,3.5513379848473524e-07,0.0,0.0708269065692111,0.042967363798713964
58,[Alt3 theta] Ep 01,0.03955504683324614,3.6072135740879103e-07,0.0,0.07123157595452921,0.0431166255987157
59,[Alt3 theta] Ep 02,0.03936787433439849,3.6072135740879103e-07,0.0,0.07256433020585198,0.04299609088401839
60,[Alt3 theta] Ep 03,0.039377689466450934,3.6072135740879103e-07,0.0,0.06844429536307019,0.04279990432372837
61,[Alt3 theta] Ep 04,0.039566295863305394,3.6072135740879103e-07,0.0,0.06924114120302621,0.043028352964619127
62,[Alt3 theta] Ep 05,0.03931864512599753,3.6072135740879103e-07,0.0,0.07036060284047602,0.04283667537792762
63,[Alt3 theta] Ep 06,0.039591469568082946,3.6072135740879103e-07,0.0,0.07341011964767408,0.04326197569707392
64,[Alt3 theta] Ep 07,0.04007020031693517,3.6072135740879103e-07,0.0,0.07266065875657725,0.0437032332557866
65,[Alt3 theta] Ep 08,0.039295571647492145,3.6072135740879103e-07,0.0,0.0726647921574031,0.04292881133995514
66,[Alt3 resid] Ep 01,0.039722014422033415,3.529309948915496e-07,0.0,0.06485334315067605,0.04296468166363854
67,[Alt3 resid] Ep 02,0.03961112740846049,3.594832137751255e-07,0.0,0.06673682538943516,0.04294796876382787
68,[Alt3 resid] Ep 03,0.0394210014282516,3.606539485395138e-07,0.0,0.0647770101095027,0.0426598519237863
69,[Alt3 resid] Ep 04,0.0393177089061135,3.515640858071296e-07,0.0,0.06496324840417081,0.04256587134210628
70,[Alt3 resid] Ep 05,0.039421030039152316,3.651111329348554e-07,0.0,0.06558026040081975,0.04270004318620137
71,[Alt3 resid] Ep 06,0.03919708940015921,3.6187164083285834e-07,0.0,0.06453223243432411,0.04242370102233631
72,[Alt3 resid] Ep 07,0.03926211088761553,3.505925618767563e-07,0.0,0.06516567345531732,0.04252039466885984
73,[Alt3 resid] Ep 08,0.039322017153477516,3.629339360216093e-07,0.0,0.06548475616675516,0.04259625498335473
74,[Alt4 theta] Ep 01,0.03917118797376584,3.589418320608922e-07,0.0,0.06942075580189355,0.04264222573161729
75,[Alt4 theta] Ep 02,0.039826037863013544,3.589418320608922e-07,0.0,0.07212040677581713,0.04343205817863933
76,[Alt4 theta] Ep 03,0.03933013952966478,3.589418320608922e-07,0.0,0.07061599096968174,0.04286093912548847
77,[Alt4 theta] Ep 04,0.038938361095780555,3.589418320608922e-07,0.0,0.07278085309944554,0.0425774036840586
78,[Alt4 theta] Ep 05,0.03926464585222404,3.589418320608922e-07,0.0,0.06767168943701403,0.0426482302388428
79,[Alt4 theta] Ep 06,0.03944828907638234,3.589418320608922e-07,0.0,0.07286544277384736,0.043091561260889075
80,[Alt4 theta] Ep 07,0.03946528383866288,3.589418320608922e-07,0.0,0.07328386533168538,0.043129477173777984
81,[Alt4 theta] Ep 08,0.03930090444355465,3.589418320608922e-07,0.0,0.06984260621132037,0.04279303482339323
82,[Alt4 resid] Ep 01,0.039033680990640376,3.6829687215882785e-07,0.0,0.06717716834818192,0.04239253944828519
83,[Alt4 resid] Ep 02,0.03918983362120081,3.728018347279791e-07,0.0,0.0667156021208775,0.042525613672091615
84,[Alt4 resid] Ep 03,0.03964743854347952,3.562729599305893e-07,0.0,0.06695698008542349,0.04299528759784644
85,[Alt4 resid] Ep 04,0.039001568761205314,3.747537927946322e-07,0.0,0.06676431548385153,0.04233978460815542
86,[Alt4 resid] Ep 05,0.03953898068504861,3.532405623583055e-07,0.0,0.06741283831987865,0.04290962267534908
87,[Alt4 resid] Ep 06,0.03915827145153942,3.477537889923271e-07,0.0,0.0676339832256794,0.042539970681327186
88,[Alt4 resid] Ep 07,0.03945026724118957,3.5202078747060366e-07,0.0,0.0671921231989292,0.04280987357813026
89,[Alt4 resid] Ep 08,0.03923524249353454,3.721258911986018e-07,0.0,0.0661174282856361,0.04254111393222686
90,[Joint] Ep 01,0.03960915722754188,3.7051342072114036e-07,0.0,0.07019253271078588,0.043118784017441375
91,[Joint] Ep 02,0.03949545179955191,3.609852837070247e-07,0.0,0.0698088339189338,0.042985893621818407
92,[Joint] Ep 03,0.03942211749355166,3.699224746182776e-07,0.0,0.07030214051551124,0.042937224551506746
93,[Joint] Ep 04,0.03935799237890253,3.6480428038147865e-07,0.0,0.0702474805958683,0.04287036636378616
94,[Joint] Ep 05,0.03941706277855865,3.5908715110897837e-07,0.0,0.0696955851456444,0.04290184216901056
95,[Joint] Ep 06,0.03953563940799418,3.664070178317431e-07,0.0,0.0683790278025307,0.04295459088317731
96,[Joint] Ep 07,0.039498313001319264,3.609032091076556e-07,0.0,0.06900535772794339,0.042948580925931804
97,[Joint] Ep 08,0.03924546245829546,3.5741533520604616e-07,0.0,0.06844015890939019,0.042667470464948565
98,[Joint] Ep 09,0.03938909304152067,3.5653657000529913e-07,0.0,0.07040509800762274,0.04290934788851856
99,[Joint] Ep 10,0.03931563238609112,3.5640409744184973e-07,0.0,0.07116434802792519,0.0428738498668027
100,[Joint] Ep 11,0.03926361144650392,3.604067263968564e-07,0.0,0.07158617490115929,0.0428429203226466
101,[Joint] Ep 12,0.03947744565923606,3.652681500768865e-07,0.0,0.07052538057280427,0.043003714724175364
102,[Joint] Ep 13,0.0395416981380156,3.604283728572563e-07,0.0,0.07044472418849247,0.04306393442151078
103,[Joint] Ep 14,0.03949619345429882,3.6439461408659753e-07,0.0,0.07038968173282564,0.04301567758467082
104,[Joint] Ep 15,0.039353294498895436,3.7440550663796037e-07,0.0,0.07003268724682883,0.04285492889503403
105,[Joint] Ep 16,0.03920895006740466,3.6775974525131164e-07,0.0,0.06869715636969125,0.04264380793015867
106,[Joint] Ep 17,0.03922906003972129,3.671212466839803e-07,0.0,0.07178899203558234,0.042818509790047934
107,[Joint] Ep 18,0.03925725033240359,3.718076782831246e-07,0.0,0.07149626475890998,0.042832063538282436
108,[Joint] Ep 19,0.03960205061856221,3.59745673410732e-07,0.0,0.06885738327033683,0.04304491990793345
109,[Joint] Ep 20,0.03930807410558971,3.5702128676852274e-07,0.0,0.06983497729481052,0.042799823031223774
